Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"394967236902","7""  Small Balance Bike Kids Children Toddlers Babies Age 2 -3 Years Walking Fun",,,"2","FIXED_PRICE","GBP",15.99,,,15.99,"4","0","0","Oct-29-23 15:52:53 PDT","Jul-29-26 14:52:53 PDT","Bikes","177831","","","New other (see details)","","","","","","UK","","",""
"394978786165",Ricco Ride On Electric Battery Powered Car Parental Controls,,,"1","FIXED_PRICE","GBP",119.99,,,119.99,"0","2","","Nov-04-23 09:34:12 PDT","Aug-04-26 08:34:12 PDT","Electric & Battery Powered","137892","","","New","","","","","","UK","","",""
"395012523201",Party Grill Hot Pot Electric Indoor Outdoor BBQ Grill Hotpot Chinese Korean,,,"1","FIXED_PRICE","GBP",82.99,,,82.99,"0","8","0","Nov-20-23 15:34:16 PST","Aug-20-26 15:34:16 PDT","Grills & Sandwich Makers","20675","","","New other (see details)","","","","","","UK","","",""
"395026923510","Luminess Silk 4In1 Advance Airbrush Starter Foundation x2 , Blush , Illuminator",Colour=Fair;Warm;Medium,,"3","FIXED_PRICE","GBP",29.99,,,29.99,"2","6","0","Nov-27-23 14:47:15 PST","Jul-27-26 14:47:15 PDT","Brushes","82597","","","New other (see details)","","","","","","UK","","",""
"395026923510","Luminess Silk 4In1 Advance Airbrush Starter Foundation x2 , Blush , Illuminator",Colour=Fair,,"0","FIXED_PRICE","GBP",29.99,,,,"1",,,"Nov-27-23 14:47:15 PST","Jul-27-26 14:47:15 PDT","Brushes","82597","","","New other (see details)",,,,,"","UK","","",""
"395026923510","Luminess Silk 4In1 Advance Airbrush Starter Foundation x2 , Blush , Illuminator",Colour=Warm,,"3","FIXED_PRICE","GBP",29.99,,,,"1",,,"Nov-27-23 14:47:15 PST","Jul-27-26 14:47:15 PDT","Brushes","82597","","","New other (see details)",,,,,"","UK","","",""
"395026928146",Luminess Air Airbrush Eyeshadow 7.5mls Brand New,Shade=Expresso 7.5mls;Bronzer 7.5mls,,"2","FIXED_PRICE","GBP",11.49,,,11.49,"0","1","","Nov-27-23 14:50:45 PST","Jul-27-26 14:50:45 PDT","Eye Shadow","36865","","","New","","","","","","UK","","",""
"395026928146",Luminess Air Airbrush Eyeshadow 7.5mls Brand New,Shade=Expresso 7.5mls,,"1","FIXED_PRICE","GBP",11.49,,,,"0",,,"Nov-27-23 14:50:45 PST","Jul-27-26 14:50:45 PDT","Eye Shadow","36865","","","New",,,,,"","UK","","",""
"395026928146",Luminess Air Airbrush Eyeshadow 7.5mls Brand New,Shade=Bronzer 7.5mls,,"1","FIXED_PRICE","GBP",11.49,,,,"0",,,"Nov-27-23 14:50:45 PST","Jul-27-26 14:50:45 PDT","Eye Shadow","36865","","","New",,,,,"","UK","","",""
"395026962956","Luminess Airbrush Primer, Glow, Tip Top and Eraser Brand New",Shade=Primer;Glow;Eraser;Tip Top Airbrush Cleaner,,"10","FIXED_PRICE","GBP",12.99,,,12.99,"0","1","","Nov-27-23 15:18:21 PST","Jul-27-26 15:18:21 PDT","Face Primer","95216","","","New","","","","","","UK","","",""
